15948.54, 0.0, 8.0, 0.0, 1479.374, 1479.498, 3386.127, 3386.25, -0.38753, 3.951954, -0.12329, -527.566, -527.609, 471.6926, 471.65, 0.426305, -5.74668, 0.042603, 137.813, 137.7737, 325.077, 325.077, -0.07456, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.037964, 0.075138, 0.075138, 0.032759, 5.037964, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.08086, -8.19425, -8.19425, -8.19425, 0.043267, 0.043267, 4.33e-07, -0.45328, -0.13426, -0.07381, -8.23143, 0.0, 8.819082, 0.0, 6.768571, 0.0, -7.18092, 0.0, -6.04724, 0.0, 0.0, 0.0, -12233.5, 0.0, -14424.5, 0.0, 0.072187, 0.0, -6.04724, 0.0, -1.54724, 0.0, 330.17, 330.17
15924.3, 0.0, 8.0, 0.0, 1490.107, 1490.01, 3396.861, 3397.03, -2.36226, 3.996007, 0.096436, -539.284, -539.221, 459.9772, 459.88, 0.426078, -5.79904, -0.06277, 142.8427, 142.8034, 330.1068, 330.1068, -0.01011, 1.786498, 0.039307, 0.0, 5.08, 0.0, 5.038239, 0.071958, 0.071958, 0.027449, 5.038239, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.09667, -8.19425, -8.19425, -8.19425, 0.040988, 0.040988, 4.10e-07, -0.42169, -0.10822, -0.07558, -8.2256, 0.0, 8.493708, 0.0, 6.774403, 0.0, -7.50629, 0.0, -6.05255, 0.0, 0.0, 0.0, -12209.3, 0.0, -14400.3, 0.0, 0.075077, 0.0, -6.05255, 0.0, -1.55255, 0.0, 335.2, 335.2
15951.16, 0.0, 8.0, 0.0, 1500.839, 1500.833, 3407.596, 3407.59, -2.7995, 3.977137, 0.005859, -551.001, -550.993, 448.2618, 448.11, 0.299846, -5.77139, -0.00818, 147.8725, 147.8332, 335.1365, 335.1365, -0.07357, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.038513, 0.076757, 0.076757, 0.032179, 5.038513, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.11247, -8.33774, -8.33774, -8.33774, 0.041368, 0.041368, 4.14e-07, -0.51647, -0.21315, -0.0818, -8.23846, 0.0, 8.130597, 0.0, 6.761543, 0.0, -7.8694, 0.0, -6.04782, 0.0, 0.0, 0.0, -12236.2, 0.0, -14427.2, 0.0, 0.078205, 0.0, -6.04782, 0.0, -1.54782, 0.0, 340.23, 340.23
16033.85, 0.0, 8.0, 0.0, 1511.572, 1511.696, 3418.33, 3418.455, -0.96276, 3.950658, -0.12476, -562.718, -562.76, 436.5464, 436.505, 0.363268, -5.74619, 0.041443, 152.9022, 152.8629, 340.1662, 340.1662, 0.015702, 1.7865, 0.039276, 0.0, 5.08, 0.0, 5.063812, 0.078219, 0.078219, 0.031904, 5.063812, 0.0, 0.0, 7.50707, 7.50707, 7.50707, -0.13144, -8.05077, -8.05077, -8.05077, 0.042507, 0.042507, 4.25e-07, -0.49935, -0.19896, -0.08396, -8.23582, 0.0, 8.048702, 0.0, 6.764185, 0.0, -7.9513, 0.0, -6.0481, 0.0, 0.0, 0.0, -12318.8, 0.0, -14509.9, 0.0, 0.083082, 0.0, -6.0481, 0.0, -1.5481, 0.0, 345.255, 345.255
16077.78, 0.0, 8.0, 0.0, 1522.304, 1522.304, 3429.065, 3429.335, 1.263518, 3.975181, -0.00024, -574.435, -574.526, 424.831, 424.74, 0.433314, -5.72086, 0.091034, 157.9319, 157.8926, 345.1959, 345.1959, -0.03176, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.064087, 0.078445, 0.078445, 0.031599, 5.064087, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.11563, -8.266, -8.266, -8.266, 0.065301, 0.065301, 6.53e-07, -0.44812, -0.13147, -0.0832, -8.25803, 0.0, 8.39911, 0.0, 6.741974, 0.0, -7.60089, 0.0, -6.0484, 0.0, 0.0, 0.0, -12362.8, 0.0, -14553.8, 0.0, 0.084791, 0.0, -6.0484, 0.0, -1.5484, 0.0, 350.285, 350.285
16046.87, 0.0, 8.0, 0.0, 1533.037, 1533.152, 3439.799, 3439.915, 1.979525, 3.951605, -0.11597, -586.153, -586.123, 413.1156, 412.985, 0.231933, -5.78076, -0.02936, 162.9616, 162.9223, 350.2256, 350.2256, -0.16986, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.059387, 0.082544, 0.082544, 0.036329, 5.059387, 0.0, 0.0, 5.799944, 5.799944, 5.799944, -0.12196, -8.62471, -8.62471, -8.62471, 0.043267, 0.043267, 4.33e-07, -0.49377, -0.17731, -0.07716, -8.25369, 0.0, 8.794128, 0.0, 6.746308, 0.0, -7.20587, 0.0, -6.04367, 0.0, 0.0, 0.0, -12331.9, 0.0, -14522.9, 0.0, 0.083066, 0.0, -6.04367, 0.0, -1.54367, 0.0, 355.31, 355.31
15987.96, 0.0, 8.0, 0.0, 1543.769, 1543.68, 3450.534, 3450.72, 0.600395, 3.992166, 0.088867, -597.87, -597.885, 401.4002, 401.22, 0.482655, -5.75824, 0.015228, 167.9913, 167.952, 355.2553, 355.2553, -0.08925, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.059692, 0.083723, 0.083723, 0.036055, 5.059692, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.1188, -8.12251, -8.12251, -8.12251, 0.044407, 0.044407, 4.44e-07, -0.55581, -0.2379, -0.06848, -8.24279, 0.0, 8.818101, 0.0, 6.757206, 0.0, -7.1819, 0.0, -6.04395, 0.0, 0.0, 0.0, -12273.0, 0.0, -14464.0, 0.0, 0.076229, 0.0, -6.04395, 0.0, -1.54395, 0.0, 360.34, 360.34
15914.86, 0.0, 8.0, 0.0, 1554.501, 1554.458, 3461.268, 3461.225, -2.09464, 3.982531, 0.043213, -609.587, -609.652, 389.6848, 389.62, 0.268685, -5.73325, 0.064819, 173.021, 172.9817, 360.285, 360.285, -0.0345, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.059967, 0.084871, 0.084871, 0.035749, 5.059967, 0.0, 0.0, 8.834833, 8.834833, 8.834833, -0.14409, -7.54857, -7.54857, -7.54857, 0.022753, 0.022753, 2.28e-07, -0.49549, -0.17225, -0.06986, -8.26305, 0.0, 8.613344, 0.0, 6.736953, 0.0, -7.38666, 0.0, -6.04425, 0.0, 0.0, 0.0, -12199.9, 0.0, -14390.9, 0.0, 0.070411, 0.0, -6.04425, 0.0, -1.54425, 0.0, 365.37, 365.37
15931.87, 0.0, 8.0, 0.0, 1565.234, 1565.251, 3472.003, 3472.02, -2.93626, 3.969936, -0.01733, -621.305, -621.254, 377.9694, 377.86, 0.302832, -5.79092, -0.05057, 178.0508, 178.0114, 365.3148, 365.3148, -0.02052, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.055237, 0.067399, 0.067399, 0.015455, 5.055237, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.11247, -8.19425, -8.19425, -8.19425, 0.058463, 0.058463, 5.85e-07, -0.47237, -0.12903, -0.07003, -8.24425, 0.0, 8.298079, 0.0, 6.755749, 0.0, -7.70192, 0.0, -6.06454, 0.0, 0.0, 0.0, -12216.9, 0.0, -14407.9, 0.0, 0.070754, 0.0, -6.06454, 0.0, -1.56454, 0.0, 370.4, 370.4
16001.15, 0.0, 8.0, 0.0, 1575.966, 1575.824, 3482.737, 3482.85, -1.99854, 4.001354, 0.14209, -633.022, -633.026, 366.254, 366.085, 0.393417, -5.76347, 0.004028, 183.0804, 183.0412, 370.3445, 370.3445, -0.02191, 1.786501, 0.039276, 0.0, 5.08, 0.0, 5.050537, 0.072665, 0.072665, 0.020185, 5.050537, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.09983, -8.33774, -8.33774, -8.33774, 0.036429, 0.036429, 3.64e-07, -0.54062, -0.21643, -0.07123, -8.2481, 0.0, 8.072222, 0.0, 6.751903, 0.0, -7.92778, 0.0, -6.05981, 0.0, 0.0, 0.0, -12286.1, 0.0, -14477.1, 0.0, 0.071513, 0.0, -6.05981, 0.0, -1.55981, 0.0, 375.42, 375.42
16066.4, 0.0, 8.0, 0.0, 1586.699, 1586.692, 3493.472, 3493.465, 0.592592, 3.974177, 0.006836, -644.739, -644.798, 354.5386, 354.48, 0.248025, -5.73586, 0.058655, 188.1102, 188.0709, 375.3742, 375.3742, -0.10026, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.050812, 0.07259, 0.07259, 0.01988, 5.050812, 0.0, 0.0, 7.317389, 7.317389, 7.317389, -0.08718, -8.05077, -8.05077, -8.05077, 0.045926, 0.045926, 4.59e-07, -0.51808, -0.21058, -0.07076, -8.27158, 0.0, 8.197056, 0.0, 6.728418, 0.0, -7.80294, 0.0, -6.06012, 0.0, 0.0, 0.0, -12351.4, 0.0, -14542.4, 0.0, 0.071947, 0.0, -6.06012, 0.0, -1.56012, 0.0, 380.475, 380.475
16080.01, 0.0, 8.0, 0.0, 1597.431, 1597.55, 3504.206, 3504.325, 2.127978, 3.94915, -0.1189, -656.456, -656.395, 342.8232, 342.715, 0.247649, -5.79574, -0.06174, 193.1399, 193.1006, 380.4039, 380.4039, -0.1173, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.046112, 0.073083, 0.073083, 0.019606, 5.046112, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.09034, -8.266, -8.266, -8.266, 0.038329, 0.038329, 3.83e-07, -0.45839, -0.12052, -0.07518, -8.24549, 0.0, 8.672522, 0.0, 6.754515, 0.0, -7.32748, 0.0, -6.06039, 0.0, 0.0, 0.0, -12365.0, 0.0, -14556.0, 0.0, 0.073108, 0.0, -6.06039, 0.0, -1.56039, 0.0, 385.505, 385.505
16012.12, 0.0, 8.0, 0.0, 1608.164, 1608.098, 3514.941, 3515.15, 1.546166, 3.986147, 0.065674, -668.174, -668.156, 331.1079, 330.965, 0.452414, -5.77321, -0.01715, 198.1696, 198.1303, 385.4336, 385.4336, -0.08107, 1.7865, 0.039276, 0.0, 5.08, 0.0, 5.051392, 0.069121, 0.069121, 0.014326, 5.051392, 0.0, 0.0, 7.317389, 7.317389, 7.317389, -0.10615, -8.05077, -8.05077, -8.05077, 0.006797, 0.006797, 6.80e-08, -0.52308, -0.18108, -0.07594, -8.23217, 0.0, 8.915817, 0.0, 6.76783, 0.0, -7.08418, 0.0, -6.06567, 0.0, 0.0, 0.0, -12297.1, 0.0, -14488.1, 0.0, 0.076226, 0.0, -6.06567, 0.0, -1.56567, 0.0, 390.54, 390.54
15942.67, 0.0, 8.0, 0.0, 1618.896, 1618.866, 3525.675, 3525.645, -1.06828, 3.978917, 0.030029, -679.891, -679.928, 319.3924, 319.355, 0.192247, -5.74584, 0.037476, 203.1993, 203.16, 390.4633, 390.4633, -0.04382, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.041687, 0.079057, 0.079057, 0.024031, 5.041687, 0.0, 0.0, 6.179305, 6.179305, 6.179305, -0.08402, -8.33774, -8.33774, -8.33774, 0.040608, 0.040608, 4.06e-07, -0.55358, -0.2456, -0.0742, -8.24377, 0.0, 8.740665, 0.0, 6.756231, 0.0, -7.25934, 0.0, -6.05597, 0.0, 0.0, 0.0, -12227.7, 0.0, -14418.7, 0.0, 0.076887, 0.0, -6.05597, 0.0, -1.55597, 0.0, 395.565, 395.565
15930.24, 0.0, 8.0, 0.0, 1629.629, 1629.644, 3536.41, 3536.425, -3.22199, 3.969697, -0.01514, -691.608, -691.535, 307.6771, 307.585, 0.364648, -5.80094, -0.07294, 208.229, 208.1897, 395.493, 395.493, 0.033945, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.071991, 0.080196, 0.080196, 0.023756, 5.071991, 0.0, 0.0, 7.886431, 7.886431, 7.886431, -0.10931, -7.7638, -7.7638, -7.7638, 0.039848, 0.039848, 3.98e-07, -0.45649, -0.14858, -0.07328, -8.23674, 0.0, 8.352035, 0.0, 6.763257, 0.0, -7.64796, 0.0, -6.05624, 0.0, 0.0, 0.0, -12215.2, 0.0, -14406.2, 0.0, 0.074592, 0.0, -6.05624, 0.0, -1.55624, 0.0, 400.59, 400.59
15970.59, 0.0, 8.0, 0.0, 1640.361, 1640.217, 3547.144, 3547.255, -2.62331, 4.001216, 0.144043, -703.325, -703.302, 295.9617, 295.825, 0.263183, -5.77584, -0.02332, 213.2587, 213.2194, 400.5227, 400.5227, -0.09934, 1.786498, 0.039307, 0.0, 5.08, 0.0, 5.072266, 0.079432, 0.079432, 0.023451, 5.072266, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.08086, -8.266, -8.266, -8.266, 0.042507, 0.042507, 4.25e-07, -0.47237, -0.14816, -0.0869, -8.26033, 0.0, 8.019097, 0.0, 6.739673, 0.0, -7.9809, 0.0, -6.05655, 0.0, 0.0, 0.0, -12255.6, 0.0, -14446.6, 0.0, 0.078128, 0.0, -6.05655, 0.0, -1.55655, 0.0, 405.62, 405.62
16062.1, 0.0, 8.0, 0.0, 1651.094, 1651.08, 3557.879, 3557.865, -0.02672, 3.975281, 0.013672, -715.043, -715.074, 284.2463, 284.215, 0.248009, -5.74832, 0.031281, 218.2885, 218.2491, 405.5524, 405.5524, -0.09346, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.067536, 0.084258, 0.084258, 0.028151, 5.067536, 0.0, 0.0, 6.558667, 6.558667, 6.558667, -0.12196, -8.48123, -8.48123, -8.48123, 0.041748, 0.041748, 4.17e-07, -0.52472, -0.20338, -0.08242, -8.26866, 0.0, 8.076423, 0.0, 6.73134, 0.0, -7.92358, 0.0, -6.05185, 0.0, 0.0, 0.0, -12347.1, 0.0, -14538.1, 0.0, 0.086189, 0.0, -6.05185, 0.0, -1.55185, 0.0, 410.645, 410.645
16090.08, 0.0, 8.0, 0.0, 1661.826, 1661.948, 3568.613, 3568.735, 2.326282, 3.948256, -0.12183, -726.76, -726.836, 272.5309, 272.455, 0.364597, -5.72569, 0.075867, 223.3181, 223.2789, 410.5822, 410.5822, -0.08375, 1.786501, 0.039276, 0.0, 5.08, 0.0, 5.067841, 0.084642, 0.084642, 0.027876, 5.067841, 0.0, 0.0, 6.179305, 6.179305, 6.179305, -0.10931, -8.48123, -8.48123, -8.48123, 0.041748, 0.041748, 4.17e-07, -0.49469, -0.15166, -0.07922, -8.24622, 0.0, 8.5329, 0.0, 6.753776, 0.0, -7.4671, 0.0, -6.05212, 0.0, 0.0, 0.0, -12375.1, 0.0, -14566.1, 0.0, 0.082756, 0.0, -6.05212, 0.0, -1.55212, 0.0, 415.68, 415.68
16017.55, 0.0, 8.0, 0.0, 1672.558, 1672.521, 3579.347, 3579.57, 1.927972, 3.980087, 0.037598, -738.477, -738.428, 260.8155, 260.695, 0.322723, -5.78828, -0.04953, 228.3479, 228.3086, 415.6119, 415.6119, -0.09777, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.063111, 0.089491, 0.089491, 0.032576, 5.063111, 0.0, 0.0, 6.558667, 6.558667, 6.558667, -0.12196, -8.33774, -8.33774, -8.33774, 0.040988, 0.040988, 4.10e-07, -0.48326, -0.13879, -0.08472, -8.25871, 0.0, 8.929383, 0.0, 6.741289, 0.0, -7.07062, 0.0, -6.04742, 0.0, 0.0, 0.0, -12302.5, 0.0, -14493.5, 0.0, 0.082073, 0.0, -6.04742, 0.0, -1.54742, 0.0, 420.7, 420.7
15957.08, 0.0, 8.0, 0.0, 1683.291, 1683.299, 3590.082, 3590.09, -0.35913, 3.970928, -0.00781, -750.194, -750.195, 249.1001, 248.93, 0.219409, -5.76347, 7.63e-05, 233.3776, 233.3383, 420.6416, 420.6416, -0.17235, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.05838, 0.066792, 0.066792, 0.007307, 5.05838, 0.0, 0.0, 5.799944, 5.799944, 5.799944, -0.10931, -8.69646, -8.69646, -8.69646, 0.040988, 0.040988, 4.10e-07, -0.51095, -0.19792, -0.08644, -8.25043, 0.0, 8.824843, 0.0, 6.749575, 0.0, -7.17516, 0.0, -6.07269, 0.0, 0.0, 0.0, -12242.1, 0.0, -14433.1, 0.0, 0.085837, 0.0, -6.07269, 0.0, -1.57269, 0.0, 425.73, 425.73
15912.19, 0.0, 8.0, 0.0, 1694.023, 1694.067, 3600.816, 3600.86, -2.99863, 3.963611, -0.04346, -761.912, -761.971, 237.3847, 237.325, 0.400371, -5.73349, 0.059692, 238.4073, 238.368, 425.6713, 425.6713, -0.07667, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.058686, 0.067818, 0.067818, 0.007032, 5.058686, 0.0, 0.0, 5.989624, 5.989624, 5.989624, -0.09983, -8.55297, -8.55297, -8.55297, 0.041748, 0.041748, 4.17e-07, -0.49962, -0.17394, -0.09344, -8.23281, 0.0, 8.419997, 0.0, 6.767186, 0.0, -7.58, 0.0, -6.07297, 0.0, 0.0, 0.0, -12197.2, 0.0, -14388.2, 0.0, 0.089217, 0.0, -6.07297, 0.0, -1.57297, 0.0, 430.785, 430.785
15952.23, 0.0, 8.0, 0.0, 1704.756, 1704.604, 3611.551, 3611.665, -3.14467, 4.002321, 0.151123, -773.629, -773.583, 225.6693, 225.55, 0.131915, -5.78586, -0.04572, 243.437, 243.3977, 430.701, 430.701, -0.08206, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.05896, 0.067966, 0.067966, 0.006727, 5.05896, 0.0, 0.0, 5.420583, 5.420583, 5.420583, -0.09983, -8.7682, -8.7682, -8.7682, 0.057703, 0.057703, 5.77e-07, -0.46015, -0.12922, -0.09614, -8.24442, 0.0, 8.070423, 0.0, 6.755584, 0.0, -7.92958, 0.0, -6.07327, 0.0, 0.0, 0.0, -12237.2, 0.0, -14428.2, 0.0, 0.095067, 0.0, -6.07327, 0.0, -1.57327, 0.0, 435.815, 435.815
16037.92, 0.0, 8.0, 0.0, 1715.488, 1715.482, 3622.285, 3622.28, -1.04863, 3.973048, 0.005371, -785.346, -785.35, 213.9539, 213.785, 0.307428, -5.76075, 0.003906, 248.4667, 248.4274, 435.7308, 435.7308, -0.04656, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.05426, 0.073094, 0.073094, 0.011457, 5.05426, 0.0, 0.0, 5.799944, 5.799944, 5.799944, -0.09983, -8.62471, -8.62471, -8.62471, 0.066821, 0.066821, 6.68e-07, -0.48468, -0.17474, -0.09029, -8.24108, 0.0, 8.045518, 0.0, 6.758921, 0.0, -7.95448, 0.0, -6.06854, 0.0, 0.0, 0.0, -12322.9, 0.0, -14513.9, 0.0, 0.095513, 0.0, -6.06854, 0.0, -1.56854, 0.0, 440.84, 440.84
16063.33, 0.0, 8.0, 0.0, 1726.221, 1726.34, 3633.02, 3633.14, 1.309791, 3.947993, -0.11987, -797.064, -797.102, 202.2385, 202.2, 0.2969, -5.74326, 0.038498, 253.4964, 253.4572, 440.7604, 440.7604, -0.13016, 1.786498, 0.039276, 0.0, 5.08, 0.0, 5.054566, 0.07726, 0.07726, 0.016157, 5.054566, 0.0, 0.0, 8.265792, 8.265792, 8.265792, -0.09667, -7.69205, -7.69205, -7.69205, 0.053145, 0.053145, 5.31e-07, -0.51356, -0.18851, -0.09061, -8.25421, 0.0, 8.386623, 0.0, 6.745788, 0.0, -7.61338, 0.0, -6.06384, 0.0, 0.0, 0.0, -12348.3, 0.0, -14539.3, 0.0, 0.091584, 0.0, -6.06384, 0.0, -1.56384, 0.0, 445.87, 445.87
16075.39, 0.0, 8.0, 0.0, 1736.953, 1736.933, 3643.754, 3643.99, 2.239128, 3.976001, 0.019531, -808.781, -808.704, 190.5231, 190.43, 0.135844, -5.80092, -0.07689, 258.5261, 258.4868, 445.7902, 445.7902, -0.14085, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.049835, 0.077333, 0.077333, 0.015852, 5.049835, 0.0, 0.0, 6.558667, 6.558667, 6.558667, -0.11563, -8.33774, -8.33774, -8.33774, 0.035289, 0.035289, 3.53e-07, -0.49335, -0.16002, -0.09622, -8.25704, 0.0, 8.804932, 0.0, 6.742957, 0.0, -7.19507, 0.0, -6.06415, 0.0, 0.0, 0.0, -12360.4, 0.0, -14551.4, 0.0, 0.093136, 0.0, -6.06415, 0.0, -1.56415, 0.0, 450.895, 450.895
15979.16, 0.0, 8.0, 0.0, 1747.685, 1747.706, 3654.489, 3654.51, 0.462404, 3.967941, -0.021, -820.498, -820.481, 178.8077, 178.665, 0.311807, -5.77103, -0.0173, 263.5559, 263.5166, 450.8199, 450.8199, -0.20421, 1.7865, 0.039307, 0.0, 5.08, 0.0, 5.075104, 0.081488, 0.081488, 0.020582, 5.075104, 0.0, 0.0, 5.420583, 5.420583, 5.420583, -0.10931, -8.91169, -8.91169, -8.91169, 0.035669, 0.035669, 3.57e-07, -0.51963, -0.19516, -0.09847, -8.22846, 0.0, 8.900296, 0.0, 6.771542, 0.0, -7.0997, 0.0, -6.05942, 0.0, 0.0, 0.0, -12264.2, 0.0, -14455.2, 0.0, 0.09784, 0.0, -6.05942, 0.0, -1.55942, 0.0, 455.925, 455.925
15927.38, 0.0, 8.0, 0.0, 1758.418, 1758.489, 3665.223, 3665.295, -2.02554, 3.957784, -0.07153, -832.215, -832.248, 167.0923, 167.06, 0.25077, -5.74603, 0.032303, 268.5856, 268.5463, 455.8496, 455.8496, -0.04986, 1.7865, 0.039276, 0.0, 5.08, 0.0, 5.070404, 0.083021, 0.083021, 0.020308, 5.070404, 0.0, 0.0, 6.748347, 6.748347, 6.748347, -0.10615, -8.33774, -8.33774, -8.33774, 0.081637, 0.081637, 8.16e-07, -0.52424, -0.21023, -0.09487, -8.23693, 0.0, 8.623145, 0.0, 6.763065, 0.0, -7.37685, 0.0, -6.05969, 0.0, 0.0, 0.0, -12212.4, 0.0, -14403.4, 0.0, 0.098572, 0.0, -6.05969, 0.0, -1.55969, 0.0, 460.95, 460.95
15942.45, 0.0, 8.0, 0.0, 1769.15, 1769.037, 3675.958, 3676.1, -3.00539, 3.994489, 0.113037, -843.933, -844.01, 155.3769, 155.3, 0.089051, -5.72355, 0.07692, 273.6153, 273.576, 460.8793, 460.8793, -0.08314, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.075684, 0.083024, 0.083024, 0.020002, 5.075684, 0.0, 0.0, 5.041221, 5.041221, 5.041221, -0.13776, -8.7682, -8.7682, -8.7682, 0.029211, 0.029211, 2.92e-07, -0.48224, -0.16968, -0.09343, -8.22662, 0.0, 8.30207, 0.0, 6.773376, 0.0, -7.69793, 0.0, -6.06, 0.0, 0.0, 0.0, -12227.5, 0.0, -14418.5, 0.0, 0.095691, 0.0, -6.06, 0.0, -1.56, 0.0, 465.985, 465.985
15995.38, 0.0, 8.0, 0.0, 1779.883, 1779.855, 3686.692, 3686.665, -1.88594, 3.977183, 0.027344, -855.65, -855.612, 143.6615, 143.53, 0.350912, -5.78115, -0.03848, 278.645, 278.6057, 465.909, 465.909, -0.05511, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.070984, 0.08791, 0.08791, 0.024733, 5.070984, 0.0, 0.0, 5.230902, 5.230902, 5.230902, -0.12512, -8.7682, -8.7682, -8.7682, 0.043647, 0.043647, 4.36e-07, -0.5155, -0.22895, -0.09585, -8.2125, 0.0, 8.166518, 0.0, 6.7875, 0.0, -7.83348, 0.0, -6.05527, 0.0, 0.0, 0.0, -12280.4, 0.0, -14471.4, 0.0, 0.095133, 0.0, -6.05527, 0.0, -1.55527, 0.0, 471.005, 471.005
16043.94, 0.0, 8.0, 0.0, 1790.615, 1790.708, 3697.427, 3697.52, 0.127616, 3.953384, -0.09302, -867.367, -867.383, 131.9461, 131.93, 0.316068, -5.75375, 0.016129, 283.6747, 283.6354, 470.9387, 470.9387, -0.14425, 1.786499, 0.039276, 0.0, 5.08, 0.0, 5.071259, 0.087462, 0.087462, 0.024458, 5.071259, 0.0, 0.0, 5.420583, 5.420583, 5.420583, -0.09983, -8.62471, -8.62471, -8.62471, 0.021993, 0.021993, 2.20e-07, -0.54094, -0.27115, -0.09784, -8.25594, 0.0, 8.285806, 0.0, 6.744059, 0.0, -7.71419, 0.0, -6.05554, 0.0, 0.0, 0.0, -12328.9, 0.0, -14519.9, 0.0, 0.097276, 0.0, -6.05554, 0.0, -1.55554, 0.0, 476.035, 476.035
16073.41, 0.0, 8.0, 0.0, 1801.348, 1801.316, 3708.161, 3708.395, 1.394545, 3.978491, 0.031494, -879.085, -879.15, 120.2307, 120.165, 0.19722, -5.7289, 0.06572, 288.7044, 288.6651, 475.9685, 475.9685, -0.1677, 1.786499, 0.039307, 0.0, 5.08, 0.0, 5.066559, 0.069331, 0.069331, 0.004164, 5.066559, 0.0, 0.0, 5.799944, 5.799944, 5.799944, -0.13776, -8.69646, -8.69646, -8.69646, 0.040608, 0.040608, 4.06e-07, -0.50063, -0.19222, -0.10103, -8.25593, 0.0, 8.622074, 0.0, 6.744075, 0.0, -7.37793, 0.0, -6.07584, 0.0, 0.0, 0.0, -12358.4, 0.0, -14549.4, 0.0, 0.099565, 0.0, -6.07584, 0.0, -1.57584, 0.0, 481.06, 481.06
15618.7, 0.0, 8.0, 0.0, 1811.779, 1811.924, 3718.595, 3718.74, 3.0092, 3.732509, -0.14478, -890.474, -890.482, 108.8435, 108.685, 0.249654, -5.44925, 0.008522, 293.5932, 293.5562, 480.8573, 480.8573, 0.026589, 1.724583, 0.037048, 0.0, 5.08, 0.0, 5.122741, 0.02166, 0.02166, -0.04979, 5.122741, 0.0, 0.0, 6.558667, 6.558667, 6.558667, -0.0935, -8.19425, -8.19425, -8.19425, 0.041748, 0.041748, 4.17e-07, -0.52263, -0.17952, -0.10502, -8.11941, 0.0, 8.248172, 0.0, 6.880586, 0.0, -7.75183, 0.0, -6.12979, 0.0, 0.0, 0.0, -11903.7, 0.0, -14094.7, 0.0, 0.103159, 0.0, -6.12979, 0.0, -1.62979, 0.0, 486.03, 486.03
14583.61, 0.0, 8.0, 0.0, 1821.582, 1821.852, 3728.4, 3728.67, 2.341853, 3.47604, -0.26978, -901.176, -901.269, 98.1426, 97.915, 0.160839, -5.06932, 0.092598, 298.1874, 298.1527, 485.4514, 485.4514, -0.03287, 1.617502, 0.03476, 0.0, 5.08, 0.0, 5.128571, 0.011449, 0.011449, -0.05834, 5.128571, 0.0, 0.0, 6.938028, 6.938028, 6.938028, -0.11563, -8.266, -8.266, -8.266, 0.040608, 0.040608, 4.06e-07, -0.36956, -0.11168, -0.08531, -8.01122, 0.0, 7.646659, 0.0, 6.988782, 0.0, -8.35334, 0.0, -6.13834, 0.0, 0.0, 0.0, -10868.6, 0.0, -13059.6, 0.0, 0.1025, 0.0, -6.13834, 0.0, -1.63834, 0.0, 490.63, 490.63
13580.55, 0.0, 8.0, 0.0, 1830.757, 1830.875, 3737.576, 3737.925, 0.196564, 3.274172, -0.11865, -911.192, -911.33, 88.12814, 87.99, 0.106755, -4.70825, 0.138138, 302.4869, 302.4544, 489.7509, 489.7509, -0.05818, 1.512939, 0.03244, 0.0, 5.08, 0.0, 5.124115, 0.011382, 0.011382, -0.05654, 5.124115, 0.0, 0.0, 7.50707, 7.50707, 7.50707, -0.0935, -7.83554, -7.83554, -7.83554, 0.042887, 0.042887, 4.29e-07, 0.431814, 0.470106, -0.01234, -8.00492, 0.0, 7.557108, 0.0, 6.995079, 0.0, -8.44289, 0.0, -6.13654, 0.0, 0.0, 0.0, -9865.55, 0.0, -12056.6, 0.0, 0.06897, 0.0, -6.13654, 0.0, -1.63654, 0.0, 494.92, 494.92
